"File_Name","Study_Area","SiteID","Site_Number","Recording_Time","Date_Time","Date","Time","Detection_Start","Detection_End","Scientific_name","Common_name","Confidence"
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:30:26,2024-07-10,"06:30:26",326,329,"Colinus virginianus","Northern Bobwhite",0.8216
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:30:42,2024-07-10,"06:30:42",342,345,"Colinus virginianus","Northern Bobwhite",0.8696
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:33:56,2024-07-10,"06:33:56",536,539,"Colinus virginianus","Northern Bobwhite",0.8354
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:34:04,2024-07-10,"06:34:04",544,547,"Colinus virginianus","Northern Bobwhite",0.83
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:34:06,2024-07-10,"06:34:06",546,549,"Colinus virginianus","Northern Bobwhite",0.8557
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:37:48,2024-07-10,"06:37:48",768,771,"Colinus virginianus","Northern Bobwhite",0.8278
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:37:50,2024-07-10,"06:37:50",770,773,"Colinus virginianus","Northern Bobwhite",0.8073
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:38:08,2024-07-10,"06:38:08",788,791,"Colinus virginianus","Northern Bobwhite",0.8222
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:42:44,2024-07-10,"06:42:44",1064,1067,"Colinus virginianus","Northern Bobwhite",0.8005
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:42:46,2024-07-10,"06:42:46",1066,1069,"Colinus virginianus","Northern Bobwhite",0.8034
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:47:44,2024-07-10,"06:47:44",1364,1367,"Colinus virginianus","Northern Bobwhite",0.8215
"LC_ARU1_20240711_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-11 06:30:02,2024-07-11,"06:30:02",302,305,"Colinus virginianus","Northern Bobwhite",0.8566
"LC_ARU1_20240711_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-11 06:33:50,2024-07-11,"06:33:50",530,533,"Colinus virginianus","Northern Bobwhite",0.8206
"LC_ARU1_20240711_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-11 06:34:40,2024-07-11,"06:34:40",580,583,"Colinus virginianus","Northern Bobwhite",0.8297
"LC_ARU1_20240711_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-11 06:44:36,2024-07-11,"06:44:36",1176,1179,"Colinus virginianus","Northern Bobwhite",0.8361
"LC_ARU1_20240711_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-11 06:44:48,2024-07-11,"06:44:48",1188,1191,"Colinus virginianus","Northern Bobwhite",0.8312
"LC_ARU1_20240714_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-14 06:28:40,2024-07-14,"06:28:40",220,223,"Colinus virginianus","Northern Bobwhite",0.804
"LC_ARU1_20240714_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-14 06:33:44,2024-07-14,"06:33:44",524,527,"Colinus virginianus","Northern Bobwhite",0.9048
"LC_ARU1_20240714_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-14 06:34:46,2024-07-14,"06:34:46",586,589,"Colinus virginianus","Northern Bobwhite",0.802
"LC_ARU1_20240714_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-14 06:46:46,2024-07-14,"06:46:46",1306,1309,"Colinus virginianus","Northern Bobwhite",0.8261
"LC_ARU1_20240717_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-17 06:51:06,2024-07-17,"06:51:06",1566,1569,"Colinus virginianus","Northern Bobwhite",0.8228
"LC_ARU1_20240719_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-19 06:39:44,2024-07-19,"06:39:44",884,887,"Colinus virginianus","Northern Bobwhite",0.8158
"LC_ARU1_20240721_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-21 06:34:28,2024-07-21,"06:34:28",568,571,"Colinus virginianus","Northern Bobwhite",0.8516
"LC_ARU1_20240721_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-21 06:45:08,2024-07-21,"06:45:08",1208,1211,"Colinus virginianus","Northern Bobwhite",0.855
"LC_ARU1_20240721_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-21 06:47:20,2024-07-21,"06:47:20",1340,1343,"Colinus virginianus","Northern Bobwhite",0.8458
"LC_ARU1_20240722_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-22 06:28:20,2024-07-22,"06:28:20",200,203,"Colinus virginianus","Northern Bobwhite",0.8123
"LC_ARU1_20240722_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-22 06:29:56,2024-07-22,"06:29:56",296,299,"Colinus virginianus","Northern Bobwhite",0.8445
"LC_ARU1_20240722_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-22 06:36:48,2024-07-22,"06:36:48",708,711,"Colinus virginianus","Northern Bobwhite",0.8007
"LC_ARU1_20240723_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-23 06:51:30,2024-07-23,"06:51:30",1590,1593,"Colinus virginianus","Northern Bobwhite",0.8306
"LC_ARU1_20240724_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-24 06:28:24,2024-07-24,"06:28:24",204,207,"Colinus virginianus","Northern Bobwhite",0.8167
"LC_ARU1_20240724_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-24 06:50:44,2024-07-24,"06:50:44",1544,1547,"Colinus virginianus","Northern Bobwhite",0.8335
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:32:28,2024-07-25,"06:32:28",448,451,"Colinus virginianus","Northern Bobwhite",0.8401
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:46:24,2024-07-25,"06:46:24",1284,1287,"Colinus virginianus","Northern Bobwhite",0.8079
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:46:40,2024-07-25,"06:46:40",1300,1303,"Colinus virginianus","Northern Bobwhite",0.8167
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:49:30,2024-07-25,"06:49:30",1470,1473,"Colinus virginianus","Northern Bobwhite",0.8361
"LC_ARU1_20240725_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-25 06:49:32,2024-07-25,"06:49:32",1472,1475,"Colinus virginianus","Northern Bobwhite",0.8095
